"id";"title";"first";"last";"street";"city";"state";"zip";"gender";"email";"username";"password";"phone";"cell";"ssn";"date_of_birth";"reg_date";"large";"medium";"thumbnail";"version";"nationality"
1;"miss";"marlene";"shaw";"3450 w belt line rd";"abilene";"florida";"31995";"F";"marlene.shaw75@example.com";"goldenpanda70";"naughty";"(176)-908-6931";"(711)-565-2194";"800-71-1872";"1991-10-07 00:22:53";"2004-01-29 16:19:10";"http://api.randomuser.me/portraits/women/67.jpg";"http://api.randomuser.me/portraits/med/women/67.jpg";"http://api.randomuser.me/portraits/thumb/women/67.jpg";"0.6";"US"
2;"ms";"letitia";"jordan";"2974 mockingbird hill";"irvine";"new jersey";"64361";"F";"letitia.jordan64@example.com";"lazytiger614";"aaaaa1";"(860)-602-3314";"(724)-685-3472";"548-93-7031";"1977-11-14 11:58:01";"2002-02-09 17:04:59";"http://api.randomuser.me/portraits/women/19.jpg";"http://api.randomuser.me/portraits/med/women/19.jpg";"http://api.randomuser.me/portraits/thumb/women/19.jpg";"0.6";"US"
3;"mr";"todd";"graham";"5760 spring hill rd";"garden grove";"north carolina";"81790";"M";"todd.graham39@example.com";"purplekoala484";"paintball";"(230)-874-6532";"(186)-529-4912";"362-31-5248";"2006-07-25 05:48:01";"2004-12-05 11:26:34";"http://api.randomuser.me/portraits/men/39.jpg";"http://api.randomuser.me/portraits/med/men/39.jpg";"http://api.randomuser.me/portraits/thumb/men/39.jpg";"0.6";"US"
4;"mr";"seth";"martinez";"4377 fincher rd";"chandler";"south carolina";"73651";"M";"seth.martinez82@example.com";"bigbutterfly149";"navy";"(122)-782-5822";"(720)-778-8541";"200-80-9087";"1981-02-28 08:22:49";"2009-08-31 12:42:57";"http://api.randomuser.me/portraits/men/96.jpg";"http://api.randomuser.me/portraits/med/men/96.jpg";"http://api.randomuser.me/portraits/thumb/men/96.jpg";"0.6";"US"
5;"mr";"guy";"mckinney";"4524 hogan st";"iowa park";"ohio";"24140";"M";"guy.mckinney53@example.com";"blueduck623";"office";"(309)-556-7859";"(856)-764-9146";"973-37-9077";"1983-11-03 22:02:12";"2003-10-20 07:23:06";"http://api.randomuser.me/portraits/men/24.jpg";"http://api.randomuser.me/portraits/med/men/24.jpg";"http://api.randomuser.me/portraits/thumb/men/24.jpg";"0.6";"US"
6;"ms";"anna";"smith";"5047 cackson st";"rancho cucamonga";"pennsylvania";"56486";"F";"anna.smith74@example.com";"goldenfish121";"albion";"(335)-388-7351";"(485)-150-6348";"680-20-6440";"1977-09-05 16:08:05";"2008-07-11 11:09:12";"http://api.randomuser.me/portraits/women/89.jpg";"http://api.randomuser.me/portraits/med/women/89.jpg";"http://api.randomuser.me/portraits/thumb/women/89.jpg";"0.6";"US"
7;"mr";"johnny";"johnson";"7250 bruce st";"gresham";"new mexico";"83973";"M";"johnny.johnson73@example.com";"crazyduck127";"toast";"(142)-971-3099";"(991)-131-1582";"683-26-4133";"1988-08-12 14:04:27";"2001-04-30 15:32:34";"http://api.randomuser.me/portraits/men/78.jpg";"http://api.randomuser.me/portraits/med/men/78.jpg";"http://api.randomuser.me/portraits/thumb/men/78.jpg";"0.6";"US"
8;"mrs";"robin";"white";"7882 northaven rd";"orlando";"connecticut";"40452";"F";"robin.white46@example.com";"whitetiger371";"elizabeth";"(311)-659-3812";"(689)-468-6420";"960-70-3399";"2003-07-05 13:09:41";"2014-10-01 02:54:46";"http://api.randomuser.me/portraits/women/82.jpg";"http://api.randomuser.me/portraits/med/women/82.jpg";"http://api.randomuser.me/portraits/thumb/women/82.jpg";"0.6";"US"
9;"miss";"allison";"williams";"7648 edwards rd";"edison";"louisiana";"52040";"F";"allison.williams82@example.com";"beautifulfish354";"sanfran";"(328)-592-3520";"(550)-172-4018";"164-78-8160";"1983-04-09 08:00:42";"2000-01-01 07:18:54";"http://api.randomuser.me/portraits/women/16.jpg";"http://api.randomuser.me/portraits/med/women/16.jpg";"http://api.randomuser.me/portraits/thumb/women/16.jpg";"0.6";"US"
10;"mrs";"erika";"king";"1171 depaul dr";"addison";"wisconsin";"50082";"F";"erika.king55@example.com";"goldenbutterfly498";"chill";"(635)-117-5424";"(662)-110-8448";"122-71-7145";"2003-09-19 07:26:17";"2002-12-31 00:08:43";"http://api.randomuser.me/portraits/women/52.jpg";"http://api.randomuser.me/portraits/med/women/52.jpg";"http://api.randomuser.me/portraits/thumb/women/52.jpg";"0.6";"US"
